"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fcrl1",1.53587768533108e-07,0.900172100745344,0.258,0.048,0.00247015208131798,"0","Fcrl1"
"Rps17",1.90575865182065e-07,0.342193091212219,0.968,0.888,0.00306503163972316,"0","Rps17"
"Rps12",1.97070489944174e-07,0.259759168156008,0.974,0.91,0.00316948468977216,"0","Rps12"
"Gm8369",2.43286905134237e-07,0.835932274925954,0.363,0.151,0.00391278329527393,"0","Gm8369"
"Rps18-ps3",3.91245336382112e-07,0.360978563385383,0.747,0.668,0.00629239874503351,"0","Rps18-ps3"
"Shisa5",5.36017105001286e-07,0.635831596063418,0.766,0.603,0.00862076309973569,"0","Shisa5"
"Foxp1",6.4860254328359e-07,0.691643817761977,0.611,0.425,0.01043147470363,"0","Foxp1"
"Ptprcap",7.80371229304897e-07,0.710241189819947,0.58,0.299,0.0125507104809107,"0","Ptprcap"
"Ppdpf",8.14310150038338e-07,0.61178899606323,0.427,0.319,0.0130965501430666,"0","Ppdpf"
"Gimap6",8.20208316465627e-07,0.691473538230639,0.498,0.268,0.0131914103537167,"0","Gimap6"
"Rpl28",8.98314235356389e-07,0.303126351097767,0.95,0.881,0.0144475878472368,"0","Rpl28"
"Cnp",1.01605014036276e-06,0.736872585863595,0.309,0.153,0.0163411344074543,"0","Cnp"
"Ccr7",1.14381516922353e-06,0.598021081399886,0.26,0.13,0.018395979366622,"0","Ccr7"
"Rpl22",1.59102683880301e-06,0.36923921591543,0.903,0.828,0.0255884846484688,"0","Rpl22"
"Cd22",1.81063217548744e-06,0.851550667586522,0.251,0.055,0.0291203972783644,"0","Cd22"
"Arpc5l",4.09353541627908e-06,0.712318668606131,0.458,0.311,0.0658363301000164,"0","Arpc5l"
"Limd2",4.5461622940843e-06,0.437721386002715,0.594,0.496,0.0731159281757578,"0","Limd2"
"Rpl23a-ps3",5.27489318944654e-06,0.29614971362349,0.931,0.85,0.0848361071658687,"0","Rpl23a-ps3"
"Coro1a",5.74814102961861e-06,0.369239134296893,0.812,0.661,0.0924473521793561,"0","Coro1a"
"Chchd10",5.98540431311894e-06,0.35028527640783,0.348,0.231,0.0962632575678919,"0","Chchd10"
"Rpl13-ps3",1.4162561831319e-05,0.439277927049365,0.613,0.57,0.227776481933104,"0","Rpl13-ps3"
"Rps26-ps1",4.95420523802983e-05,0.468003065958064,0.617,0.573,0.796784828432337,"0","Rps26-ps1"
"Ptp4a3",5.50487425880782e-05,0.555464998424426,0.376,0.205,0.885348927044062,"0","Ptp4a3"
"Unc93b1",5.56762319577686e-05,0.566434221223334,0.332,0.218,0.895440838576792,"0","Unc93b1"
"Ddx5",7.66756612868043e-05,0.284133704419623,0.713,0.747,1,"0","Ddx5"
"Rpl31",9.16837284479638e-05,0.309200269565468,0.976,0.911,1,"0","Rpl31"
"Pkig",0.000106623333768153,0.613154300987483,0.286,0.177,1,"0","Pkig"
"Ifi203",0.000136723198506623,0.582484852463631,0.346,0.222,1,"0","Ifi203"
"Arhgdib",0.000146227542026751,0.378705492265867,0.702,0.605,1,"0","Arhgdib"
"Rpl29",0.000146433264966978,0.292273913578389,0.897,0.853,1,"0","Rpl29"
"Snx2",0.000165106002686778,0.714132598117155,0.363,0.207,1,"0","Snx2"
"Pold4",0.000173304863415649,0.649901162915455,0.373,0.254,1,"0","Pold4"
"Rps12-ps3",0.000201355011549828,0.279823319938454,0.851,0.803,1,"0","Rps12-ps3"
"Fchsd2",0.000251478025877734,0.761814769885695,0.278,0.113,1,"0","Fchsd2"
"Serpinb1a",0.000381016114286426,0.749660327311997,0.254,0.1,1,"0","Serpinb1a"
"Tspan32",0.000441931810595057,0.642128735532289,0.281,0.149,1,"0","Tspan32"
"Mndal",0.000447517237280936,0.561934232654865,0.347,0.243,1,"0","Mndal"
"Serp1",0.000503197538677869,0.547649658493214,0.596,0.475,1,"0","Serp1"
"Gm6133",0.000533834880416254,0.375282136441231,0.39,0.396,1,"0","Gm6133"
"Capg",0.000669258748746081,0.53742820150913,0.341,0.241,1,"0","Capg"
"Mif4gd",0.000735372894644302,0.624658171592985,0.255,0.151,1,"0","Mif4gd"
"Rpl6l",0.000752070609888425,0.428375188046247,0.726,0.659,1,"0","Rpl6l"
"Man1a",0.00132569880061528,0.770725562692743,0.288,0.135,1,"0","Man1a"
"Gm10263",0.001911683902303,0.31953074898327,0.565,0.565,1,"0","Gm10263"
"Slfn2",0.00230724657769306,0.387521582266636,0.371,0.331,1,"0","Slfn2"
"Napsa",0.00275372396868792,0.273632573173327,0.371,0.318,1,"0","Napsa"
"Crlf3",0.00363303733806134,0.551853851879046,0.337,0.249,1,"0","Crlf3"
"Ly86",0.00373963473857118,0.618555987083768,0.282,0.149,1,"0","Ly86"
"Eif3f",0.00435243270549806,0.381293799148736,0.684,0.658,1,"0","Eif3f"
"Tsc22d3",0.00455380636256071,0.655301985689877,0.447,0.333,1,"0","Tsc22d3"
"Cd24a",0.00494427913459614,0.325490561363785,0.325,0.248,1,"0","Cd24a"
"Sell",0.00587520359705831,0.443711172771576,0.367,0.264,1,"0","Sell"
"Cd81",0.00612793175452524,0.376940091946762,0.269,0.222,1,"0","Cd81"
"Hmgn1",0.006508129547697,0.417812679859086,0.382,0.34,1,"0","Hmgn1"
"Nfkbia",0.00716574459320077,0.460688962247909,0.497,0.412,1,"0","Nfkbia"
"Rpl13a-ps1",0.00854455501643719,0.419270611593453,0.394,0.38,1,"0","Rpl13a-ps1"
"Ets1",0.0090508831950603,0.568947973907865,0.377,0.229,1,"0","Ets1"
"Cd3g",3.53761240511986e-55,2.1962061183788,0.829,0.02,5.68954203115427e-51,"1","Cd3g"
"Cd3d",3.51867149360589e-54,2.1074878314179,0.802,0.022,5.65907936316636e-50,"1","Cd3d"
