"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Anxa4",2.14604652946361e-08,0.511978720338934,0.375,0.08,0.000345148663333633,"3","Anxa4"
"Hint2",2.33173357260054e-08,0.370642110871907,0.35,0.103,0.000375012710481344,"3","Hint2"
"Ndufb11",2.49663162966486e-08,0.386063049949439,0.776,0.368,0.000401533264998999,"3","Ndufb11"
"Gsap",2.55549271271414e-08,0.430195926580226,0.368,0.09,0.000410999892985815,"3","Gsap"
"Klf9",2.59076637611016e-08,0.430857744690149,0.328,0.06,0.000416672956269797,"3","Klf9"
"Irf2bp2",2.62628694741443e-08,0.350904407308923,0.351,0.104,0.000422385729752663,"3","Irf2bp2"
"Malat11",2.73347299259497e-08,0.252181103714475,0.997,0.998,0.00043962446139905,"3","Malat1"
"Nfe2l2",3.00355442214981e-08,0.319789801033482,0.421,0.143,0.000483061657714354,"3","Nfe2l2"
"Cpne3",3.0403762283285e-08,0.254806665785012,0.322,0.111,0.000488983708802073,"3","Cpne3"
"Smpd1",3.49565414612033e-08,0.370240201978472,0.258,0.043,0.000562206056320533,"3","Smpd1"
"Mob1b",3.83081824541337e-08,0.420573844135272,0.286,0.05,0.000616110498409833,"3","Mob1b"
"Fam177a",3.86911468701103e-08,0.270376937893195,0.34,0.119,0.000622269715111984,"3","Fam177a"
"Fam126b",3.94336590479715e-08,0.412024395395316,0.26,0.038,0.000634211538468525,"3","Fam126b"
"Vmp1",5.26191160849521e-08,0.381261829167925,0.374,0.104,0.000846273243994284,"3","Vmp1"
"Tmbim63",6.02151647207622e-08,0.413167801811049,0.881,0.468,0.000968440494204018,"3","Tmbim6"
"Abhd5",6.24759472980132e-08,0.417071205810885,0.276,0.053,0.00100480066039395,"3","Abhd5"
"Ndufc1",8.02169410798942e-08,0.323217242688513,0.592,0.268,0.00129012906338794,"3","Ndufc1"
"Srebf2",8.35471147411982e-08,0.392364931558496,0.271,0.051,0.00134368824638269,"3","Srebf2"
"Wwp1",1.34808351920011e-07,0.394740842429267,0.271,0.049,0.00216812272392954,"3","Wwp1"
"Cd812",1.43502603297486e-07,0.276444253197732,0.553,0.199,0.00230795236883346,"3","Cd81"
"Ndufa6",1.52443094528631e-07,0.283810505405771,0.807,0.464,0.00245174228930397,"3","Ndufa6"
"Smim10l1",1.55328904310719e-07,0.350161440821626,0.317,0.081,0.00249815476802929,"3","Smim10l1"
"Mcfd2",1.71356714078718e-07,0.428371993677993,0.331,0.068,0.00275593003252803,"3","Mcfd2"
"Gfpt1",2.02579817758947e-07,0.433123137269648,0.286,0.049,0.00325809120901715,"3","Gfpt1"
"Pdia6",2.07915394349356e-07,0.295487659204611,0.478,0.188,0.00334390328732069,"3","Pdia6"
"Cyb5r3",2.40701754687182e-07,0.293685213943801,0.411,0.139,0.00387120632063394,"3","Cyb5r3"
"Tax1bp3",2.56114558546394e-07,0.320270754372713,0.301,0.094,0.00411909044510166,"3","Tax1bp3"
"Mllt6",3.20525010348312e-07,0.369398855790645,0.265,0.052,0.0051550037414319,"3","Mllt6"
"Atp6v1b2",3.39450133987955e-07,0.264086231515912,0.385,0.157,0.00545937650492828,"3","Atp6v1b2"
"Ndufb3",3.47600881311904e-07,0.294839368538547,0.529,0.243,0.00559046497413935,"3","Ndufb3"
"Pura",3.68011385635688e-07,0.444491934118243,0.421,0.116,0.00591872711517878,"3","Pura"
"Ano6",3.83602346145219e-07,0.345357211164586,0.306,0.086,0.00616947653305355,"3","Ano6"
"Itm2c",4.15673707736297e-07,0.341578529843766,0.394,0.143,0.00668528024152287,"3","Itm2c"
"Ndufb91",4.425270345285e-07,0.275500590554823,0.71,0.358,0.00711716229632187,"3","Ndufb9"
"Cox7a22",4.685530037183e-07,0.324286537151586,0.857,0.486,0.00753573795880142,"3","Cox7a2"
"Ddt",4.70291792964563e-07,0.428376146443051,0.346,0.085,0.00756370290624907,"3","Ddt"
"Ube2i",4.93715694517174e-07,0.255211905531669,0.618,0.296,0.00794042951491971,"3","Ube2i"
"Ndufa4",4.97028417281358e-07,0.250012496359894,0.824,0.49,0.00799370803513608,"3","Ndufa4"
"Prrc2b",7.01044555023542e-07,0.345937153973893,0.289,0.078,0.0112748995784436,"3","Prrc2b"
"Zbtb4",1.08537438033421e-06,0.25776584634687,0.258,0.068,0.0174560761589151,"3","Zbtb4"
"mt-Co21",1.48044989578813e-06,0.27477064610451,0.996,0.972,0.0238100756739605,"3","mt-Co2"
"Comt",1.533052557651e-06,0.258158433856529,0.353,0.137,0.024656084284701,"3","Comt"
"Scarb2",1.64051946497607e-06,0.340247327277459,0.397,0.139,0.0263844745552101,"3","Scarb2"
"Tmem248",1.68816775590817e-06,0.319440268172609,0.267,0.07,0.0271508020182711,"3","Tmem248"
"Pik3ca",1.78120414858658e-06,0.386828821941451,0.369,0.095,0.028647106321718,"3","Pik3ca"
"Luc7l2",1.88161599453294e-06,0.307282270235298,0.6,0.253,0.0302620300400732,"3","Luc7l2"
"9530068E07Rik",1.98132717258378e-06,0.286687129499168,0.328,0.104,0.0318656849166649,"3","9530068E07Rik"
"Sel1l",2.14771360573959e-06,0.298756856839759,0.356,0.108,0.0345416779211098,"3","Sel1l"
"Cyb5a2",3.8334824417785e-06,0.369857249638762,0.664,0.287,0.0616538981111237,"3","Cyb5a"
"2700094K13Rik",4.9549933499713e-06,0.254901888261116,0.426,0.176,0.0796911580475885,"3","2700094K13Rik"
"Raph1",5.39184557727576e-06,0.267407017458249,0.3,0.071,0.0867170524193261,"3","Raph1"
"Arl6ip1",6.34038407116358e-06,0.285776779787736,0.767,0.409,0.101972397016524,"3","Arl6ip1"
"Fam129b",6.54326355796818e-06,0.500501876187593,0.299,0.047,0.105235307802802,"3","Fam129b"
"Gnas1",7.09515967893271e-06,0.296168386400289,0.761,0.401,0.114111453116275,"3","Gnas"
"Hnrnph3",7.37780521954507e-06,0.263017022939912,0.258,0.075,0.118657241345943,"3","Hnrnph3"
"Arl1",8.11683326374891e-06,0.28395492681426,0.415,0.164,0.130543029380874,"3","Arl1"
"Uqcr101",8.69096693764225e-06,0.274413417194536,0.736,0.389,0.1397768212581,"3","Uqcr10"
"Degs1",1.00996761120331e-05,0.340666472087589,0.396,0.139,0.162433090909828,"3","Degs1"
"Cltb",1.21343150572933e-05,0.279643483123739,0.324,0.106,0.195156189066448,"3","Cltb"
"Sec63",1.9193576801782e-05,0.289247075582513,0.276,0.07,0.30869029570306,"3","Sec63"
"Azin1",2.01980732751436e-05,0.467252414309412,0.376,0.09,0.324845612484134,"3","Azin1"
"Rnf181",2.24684647549265e-05,0.277006354954864,0.272,0.08,0.361360318653483,"3","Rnf181"
"Tusc3",2.3428123190034e-05,0.271897344618802,0.29,0.09,0.376794505265318,"3","Tusc3"
"Ndufb2",2.42976778144261e-05,0.354045087494728,0.488,0.189,0.390779552289414,"3","Ndufb2"
"Slc25a51",3.04953473528784e-05,0.316974936548874,0.282,0.077,0.490456671476343,"3","Slc25a51"
"Hsd17b10",3.44976598351724e-05,0.281622312177336,0.361,0.132,0.554825863129077,"3","Hsd17b10"
"Uqcrq2",3.90355373207355e-05,0.267409921182312,0.749,0.405,0.627808546729389,"3","Uqcrq"
"Cbx6",7.24873054455697e-05,0.406023938369494,0.274,0.044,1,"3","Cbx6"
"Dynlt3",7.66602703723973e-05,0.325689306944704,0.318,0.087,1,"3","Dynlt3"
"Hdlbp",7.96649015184193e-05,0.338902055677343,0.326,0.099,1,"3","Hdlbp"
"Elovl5",8.18204115477882e-05,0.250022523568382,0.304,0.104,1,"3","Elovl5"
"Sypl",0.000102275775121005,0.260767400827439,0.449,0.169,1,"3","Sypl"
"Ing2",0.00010893284022339,0.311135525792931,0.261,0.066,1,"3","Ing2"
"Vamp5",0.00013526560505292,0.267028956140549,0.265,0.086,1,"3","Vamp5"
"Echs1",0.000158583796862526,0.271630948620426,0.275,0.099,1,"3","Echs1"
"Ppm1b",0.000210874923528493,0.335190488061687,0.262,0.066,1,"3","Ppm1b"
"Adcy7",0.000220804601272022,0.319716714749997,0.279,0.071,1,"3","Adcy7"
"Hadh",0.000225346115847593,0.261121344114922,0.258,0.081,1,"3","Hadh"
"Atp1a11",0.000265493924172614,0.312104180278802,0.468,0.189,1,"3","Atp1a1"
"Swi5",0.000267868570946801,0.284121228061673,0.579,0.248,1,"3","Swi5"
"Etnk1",0.000356406002073693,0.292567141993167,0.368,0.12,1,"3","Etnk1"
"Etfb",0.000385636148803398,0.399809877880684,0.454,0.153,1,"3","Etfb"
"Stx12",0.00200965988873492,0.275843781988702,0.274,0.073,1,"3","Stx12"
"Ddrgk1",0.00270725656247215,0.338958306923833,0.462,0.184,1,"3","Ddrgk1"
"1500011K16Rik",0.00781007462126999,0.296957774643415,0.299,0.094,1,"3","1500011K16Rik"
"Retnlg",3.61583183030609e-71,4.55253329390378,0.97,0.07,5.81534233268128e-67,"4","Retnlg"
"S100a91",1.42745585264823e-70,5.32880744464353,0.998,0.247,2.29577724781415e-66,"4","S100a9"
"S100a82",1.90399331086858e-70,5.46741936580322,1,0.285,3.06219244186994e-66,"4","S100a8"
"Msrb14",7.05800888182649e-70,2.70093820816297,0.993,0.28,1.13513956846415e-65,"4","Msrb1"
"S100a62",1.51489907646793e-66,2.67463615249512,0.975,0.303,2.43641218468337e-62,"4","S100a6"
"S100a114",6.27038380276695e-65,2.7330125108973,0.998,0.559,1.00846582699901e-60,"4","S100a11"
"Slpi",1.48415825268007e-63,3.31980964078781,0.945,0.124,2.38697171778536e-59,"4","Slpi"
