"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rplp22",3.55354251399767e-63,1.01257719920874,0.905,0.666,8.33305719532455e-59,"6","Rplp2"
"Ms4a4b",1.13840723305077e-62,1.98071787310693,0.57,0.061,2.66956496150406e-58,"6","Ms4a4b"
"Rps32",5.40599149646647e-62,0.943874387723401,0.921,0.672,1.26770500592139e-57,"6","Rps3"
"Rpl18a2",5.97279669846796e-61,1.20856023693486,0.825,0.535,1.40062082579074e-56,"6","Rpl18a"
"Tmsb102",6.63460412174463e-61,0.855212903128188,0.946,0.632,1.55581466654912e-56,"6","Tmsb10"
"Rps162",9.08330191153981e-58,0.989614556934332,0.896,0.603,2.13003429825608e-53,"6","Rps16"
"Rplp02",2.97595834031615e-57,0.922301915067692,0.895,0.662,6.97862230804137e-53,"6","Rplp0"
"Rplp12",4.74574573198969e-57,0.926017419685997,0.932,0.805,1.11287737415158e-52,"6","Rplp1"
"Rps3a13",3.16268744671621e-55,0.820275375692827,0.914,0.738,7.41650206254951e-51,"6","Rps3a1"
"Rpl37a2",7.43114535098837e-54,0.780849537462181,0.925,0.781,1.74260358480677e-49,"6","Rpl37a"
"Rps192",1.79245384403108e-53,0.758969415356103,0.953,0.823,4.20330426425289e-49,"6","Rps19"
"Rps282",4.68437451724696e-53,1.03400829839845,0.874,0.623,1.09848582429441e-48,"6","Rps28"
"Rpl23a2",1.31907093500391e-50,0.98180468137086,0.861,0.619,3.09322134258417e-46,"6","Rpl23a"
"Rps142",2.01167461828859e-48,0.63651483595702,0.97,0.859,4.71737697988673e-44,"6","Rps14"
"Rpl12",3.11076652119408e-48,1.28703835619238,0.744,0.371,7.29474749220012e-44,"6","Rpl12"
"Rps211",4.71693864125647e-48,0.829700942137282,0.853,0.662,1.10612211137464e-43,"6","Rps21"
"Rpsa2",1.06594708178448e-47,0.865659609856421,0.896,0.655,2.4996459067846e-43,"6","Rpsa"
"Rps262",1.15671130593396e-46,0.807042889884307,0.896,0.709,2.71248801241513e-42,"6","Rps26"
"Rpl192",6.56474779606883e-44,0.849895737012534,0.819,0.578,1.53943335817814e-39,"6","Rpl19"
"Rpl411",1.32245822688873e-43,0.860572407657938,0.811,0.602,3.10116454205406e-39,"6","Rpl41"
"Rpl92",2.120705931547e-41,0.926691125441677,0.791,0.518,4.9730554094777e-37,"6","Rpl9"
"Rpl392",5.36738116874558e-41,0.993388680477811,0.786,0.534,1.25865088407084e-36,"6","Rpl39"
"Rpl342",7.79875232321193e-41,0.808782470434037,0.826,0.597,1.8288074197932e-36,"6","Rpl34"
"Rps92",1.29143456341041e-40,0.632522696671031,0.956,0.812,3.02841405119742e-36,"6","Rps9"
"Rpl231",6.92276144313072e-40,0.776458762574727,0.849,0.651,1.62338755841415e-35,"6","Rpl23"
"Rpl43",1.19357419119884e-38,0.645009892816414,0.874,0.688,2.79893147836128e-34,"6","Rpl4"
"Rpl310",1.61190919304341e-38,0.80543058545244,0.818,0.593,3.7799270576868e-34,"6","Rpl3"
"Rps132",2.00081011035528e-38,0.881196411582318,0.832,0.58,4.69189970878314e-34,"6","Rps13"
"Rps52",5.6064425559319e-38,0.823976784793974,0.818,0.578,1.31471077936603e-33,"6","Rps5"
"Eef1a13",1.1481384732268e-37,0.905219354759001,0.811,0.569,2.69238471971684e-33,"6","Eef1a1"
"Rpl111",4.01509533176885e-37,0.668184341536928,0.889,0.715,9.41539855299795e-33,"6","Rpl11"
"Gm15427",7.51370731328846e-37,1.09213666884528,0.693,0.367,1.76196436496615e-32,"6","Gm15427"
"Rpl27a2",8.6870815110494e-37,0.793684425186524,0.767,0.55,2.03712061434108e-32,"6","Rpl27a"
"Rpl382",2.20143435399889e-36,0.771971513706545,0.874,0.684,5.1623635601274e-32,"6","Rpl38"
"Rpl361",1.869510007965e-35,0.673532745845601,0.9,0.729,4.38400096867793e-31,"6","Rpl36"
"Rpl36a2",2.05807019759779e-35,0.966390088165673,0.758,0.483,4.82617461336681e-31,"6","Rpl36a"
"Rpl272",6.35663478556778e-34,0.845568775533224,0.758,0.505,1.49063085721564e-29,"6","Rpl27"
"Rps210",7.91865974338556e-34,0.713676786271504,0.816,0.633,1.85692570982391e-29,"6","Rps2"
"Rpl301",1.40087954996249e-33,0.812930789005688,0.811,0.626,3.28506254466203e-29,"6","Rpl30"
"Gm14303",1.60207143345144e-33,1.20138608026317,0.574,0.297,3.75685751144362e-29,"6","Gm14303"
"Rpl371",2.13837416429535e-33,0.535251029417238,0.904,0.777,5.01448741527259e-29,"6","Rpl37"
"Rpl222",4.20638470084313e-33,0.888359770655522,0.765,0.516,9.86397212347714e-29,"6","Rpl22"
"Rpl172",1.38236793107338e-32,0.828526356661996,0.77,0.546,3.24165279836706e-28,"6","Rpl17"
"Rps201",2.22068342136868e-32,0.719995354427897,0.818,0.64,5.20750262310954e-28,"6","Rps20"
"Rps61",2.23483236535848e-32,1.10587136011304,0.665,0.353,5.24068189676563e-28,"6","Rps6"
"Rps152",4.03789596909854e-32,0.662262865709275,0.839,0.661,9.46886604753608e-28,"6","Rps15"
"Rps10",5.19934689475152e-31,0.94995629020376,0.67,0.426,1.21924684681923e-26,"6","Rps10"
"Rpl351",9.9114759730377e-31,0.701653508906997,0.826,0.643,2.32424111567734e-26,"6","Rpl35"
"Tpt1",2.72943047705729e-30,0.707142055932662,0.83,0.685,6.40051446869935e-26,"6","Tpt1"
"Rps121",1.74108586277051e-29,0.706194480016503,0.798,0.618,4.08284634819684e-25,"6","Rps12"
"Rpl62",3.63156642234963e-29,0.740893447463697,0.744,0.535,8.51602326040988e-25,"6","Rpl6"
"Eef1b2",1.20120390236345e-27,0.975318516893394,0.554,0.312,2.8168231510423e-23,"6","Eef1b2"
"Rpl35a2",3.98414176845938e-27,0.777273118265298,0.767,0.557,9.34281244703724e-23,"6","Rpl35a"
"Rpl81",9.69749602978265e-27,0.574644539778328,0.847,0.704,2.27406281898403e-22,"6","Rpl8"
"Rpl151",1.11377173243391e-26,0.842056435147219,0.647,0.4,2.61179471255752e-22,"6","Rpl15"
"Rpl261",6.05499686768655e-26,0.582066435468036,0.863,0.738,1.4198967654725e-21,"6","Rpl26"
"Rpl181",6.971433761777e-26,0.670488809474046,0.814,0.622,1.63480121713671e-21,"6","Rpl18"
"Rps112",7.26635581915826e-26,0.550217094328207,0.886,0.742,1.70396043959261e-21,"6","Rps11"
"Rpl142",7.50839945923108e-26,0.583808531621849,0.861,0.728,1.76071967318969e-21,"6","Rpl14"
"Pabpc1",1.65414028259326e-25,0.905085974440635,0.593,0.348,3.8789589626812e-21,"6","Pabpc1"
"Rps27a1",1.46961659593355e-23,0.654634793066557,0.779,0.623,3.44625091746418e-19,"6","Rps27a"
"H2-K13",1.87344867657921e-23,0.618307396132235,0.775,0.598,4.39323714657824e-19,"6","H2-K1"
